	ヶ
briefly	プチッ
brier	ブライアー
brig	ブリッグ
brigantine	ブリガンチン
brightness	ブライトネス
brilliant	ブリリアント
brilliantine	ブリリアンティン
brim	ブリム
brioche	ブリオッシ
brisket	ブリスケ
briskly	ガシガシ
brittlestar	クモヒトデ
broadband	ブロードバンド
broadbill	メカジキ
broadcast	ブロードキャスト
broadcasting	ブロードキャスティング
broadcloth	ブロード
brocade	ブロケード
broccoli	ブロコリ
brochure	ブローシャ
broiler	ブロイラー
broken	ブロークン
broker	ブローカ
bromelain	ブロメライン
bromide	ブロマイド
bromine	ブロム
brontosaurus	アパトサウルス
bronze	ブロンズ
brooch	ブローチ
brook	ブルック
broom	ブルーム
broth	ブロス
brother	ブラザー
brothers	ブラザーズ
brouter	ブルータ
brown	ブラウン
browse	ブラウズ
browser	ブラウザ
browsing	ブラウジング
brucine	ブルシン
brunch	ブランチ
brunette	ブルネット
brush	ブラシ
brushing	ブラッシング
brushy	ブラシ
bucatini	ブカティーニ
buchimgae	チジミ
buddleia	ブッドレア
buddy	ボディ
buffet	ビュッフェ
buffing	ポリサージュ
bugle	ビューグル
buh-boo	ブッブー
build	ビルド
builder	ビルダ
buildering	ビルダーリング
building	ビル
built-in	ビルトイン
bulgogi	プルコギ
bull	ブル
bulldog	ブル
bulldozer	ブル
bullying	リンチ
bumblebee	マルハナバチ
bumpkin	ムクドリ
bundle	カードル
buoy	ブイ
buoyant	ウキウキ
burbling	ボコボコ
bureau	ビューロー
bureaucracy	ビューロクラシー
bureaucrat	ビューロクラット
buret	ビュレット
burette	ビュレット
burka	ブルカ
burkha	ブルカ
burqa	ブルカ
bush	ブッシュ
bush-cricket	キリギリス
bushel	ブッシェル
bushing	ブッシング
bushkiller	ヤブガラシ
bushman	ブッシュマン
bustling	ワラワラ
butadiene	ブタジエン
butane	ブタン
butanol	ブタノール
butcher	ブッチャー
butt	フトモモ
butterflyfish	チョウチョウウオ
buttocks	フトモモ
button	ボタン
buttonhole	ボタンホール
butylene	ブチレン
buxom	グラマー
buzz	ブーン
buzzer	ブザー
buzzword	キーワード
cabaret	キャバレー
cabbage	キャベツ
cabin	キャビン
cabinet	キャビネ
cable	ケーブル
cabriolet	カブリオレ
cacao	カカオ
cache	キャッシュ
caching	キャッシング
cachou	カテキュー
cactus	カクタス
cadaverine	カダベリン
caddie	キャディー
caddy	キャディ
cadence	カデンツ
cadenza	カデンツァ
cadherin	カドヘリン
cadmium	カドミウム
caecilian	アシナシイモリ
cafe	カッフェー
cafeteria	カフェテリア
caffeine	カフェイン
caftan	カフタン
cage	ケージ
caiman	カイマン
cairn	ケルン
caisson	ケーソン
cake	ケーキ
calabash	ヒョウタン
calamus	アヤメ
calceolaria	カルセオラリア
calciferol	カルシフェロール
calcitonin	カルシトニン
calcium	カルシウム
calculator	カルキュレータ
caldera	カルデラ
caledonian	カレドニアン
calendar	カレンダ
calender	カレンダ
calf	カーフ
calfskin	カーフスキン
calibration	キャリブレーション
calico	カナキン
californium	カリホルニウム
caliper	キャリパー
calipers	キャリパス
caliph	カリフ
calking	コーキング
call	コール
call-back	コールバック
calla	カラー
called	コールド
calligraphy	カリグラフィー
callipers	キャリパス
callus	カルス
calmodulin	カルモジュリン
calomel	カロメル
calorie	カロリー
calorimeter	カロリメーター
calotte	キャロット
calpas	カルパス
calvados	カルバドス
calypso	カリプソ
cam	カム
camassia	カマシア
camber	キャンバー
cambric	カンブリック
camcorder	カムコーダー
camel	キャメル
camellia	カメリア
camembert	カマンベール
cameo	カメオ
camera	カメラ
camera-eye	カメラアイ
cameraman	カメラマン
cami-knickers	カミニッカーズ
camisole	キャミソール
camouflage	カムフラージュ
camp	キャンプ
campaign	カンパ
camper	キャンパー
camper-van	キャンピングカー
campfire	キャンプファイア
camphor	カンファー
camphorwood	クス
camping	キャンピング
camptosaurus	カンプトサウルス
campus	キャンパス
camshaft	カムシャフト
can-can	カンカン
canape	カナッペ
canary	カナリア
canasta	カナスタ
cancel	キャンセル
canceler	キャンセラー
canceling	オクラ
canceller	キャンセラー
cancelling	オクラ
cancer	キャンサー
candela	カンデラ
candidate	キャンディデート
candle	キャンドル
candlelight	キャンドルライト
candlestick	キャンドルスティック
candy	キャンディ
cane	ケイン
canequim	カナキン
canister	キャニスター
cannabis	マリファナ
canneloni	カネローニ
cannibal	カニバル
cannibalism	カニバリズム
cannonball	キャノンボール
cannula	カニューレ
canoe	カヌー
canoeing	カヌーイング
canoeist	カヌーイスト
canon	カノン
canopy	キャノピー
cant	カント
cantabile	カンタービレ
cantaloup	マスクメロン
cantaloupe	カンタループ
cantata	カンタータ
canter	カンター
cantharadin	カンタリジン
cantharides	カンタリス
cantilever	カンチレバー
canvas	カンバス
canyon	キャニオン
canzona	カンツォーナ
canzone	カンツォーネ
canzonetta	カンツォネッタ
cap	キャップ
capability	ケーパビリティ
capacitance	キャパシタンス
capacitor	キャパシタ
capacity	キャパ
cape	ケープ
capelin	カペリン
capeline	キャプリーヌ
capellini	カペッリーニ
caper	ケイパー
capital	カピタル
capitalism	キャピタリズム
capitol	キャピトル
capitulation	カピチュレーション
capless	キャップレス
caplin	カペリン
capline	キャップライン
capoeira	カポエイラ
cappuccino	カプチーノ
capriccio	カプリチオ
capriole	カプリオール
caprolactam	カプロラクタム
capsaicin	カプサイシン
capsicum	コーレーグース
capstan	カップスタン
capsule	カプセル
captain	キャップ
caption	キャプション
capture	キャプチャ
capybara	カピバラ
car	カー
carabid	ゴミムシ
carabiner	カラビナ
caracal	カラカル
caracara	カラカラ
carafe	カラフ
caramel	カラメル
carat	カラット
caravan	キャラバン
caravansary	キャラバンサライ
caravel	キャラベル
caraway	キャラウェー
carbamazepine	カルバマゼピン
carbide	カーバイド
carbine	カービン
carboloy	カーボロイ
carbon	カーボン
carbon-neutral	カーボンニュートラル
carbonatite	カーボナタイト
carborundum	カーボランダム
carboxyl	カルボキシル
carboy	カルボイ
carburator	キャブレター
carburetor	キャブレター
carburetter	キャブレター
carburettor	キャブレター
carcajou	クズリ
carcase	カーカス
carcass	カーカス
carcinoid	カルチノイド
card	カード
cardamom	カルダモン
cardboard	ダンボール
cardigan	カーディガン
cardinal	カージナル
cardioscope	カルジオスコープ
care	ケア
career	キャリア
carefree	サンスーシ
careless	ボヤボヤ
caret	キャレット
cargo	カーゴ
caribou	カリブー
caricature	カリカチュア
caricaturise	カリカチュライズ
caricaturize	カリカチュライズ
caries	カリエス
carillon	カリヨン
carmine	カーマイン
carnallite	カーナライト
carnation	カーネーション
carnitine	カルニチン
carnival	カーニバル
carob	イナゴマメ
carol	カロル
carotene	カロチン
carotenoid	カロチノイド
carotinoid	カロチノイド
carousel	カルーセル
carpaccio	カルパッチョ
carpenter	カーペンター
carpet	カーペット
carport	カーポート
carrageenan	カラギーナン
carriage	キャリッジ
carrier	キャリア
carrier-side	キャリアサイド
carrot	キャロット
carry	キャリー
carry-over	キャリーオーバー
carry-trade	キャリートレード
carrying-ball	キャリングボール
cart	カート
cartel	カルテル
carton	アディオス
cartoon	カートゥーン
cartouche	カルトゥーシュ
cartridge	カートリッジ
carving	カービング
caryatid	カリアティード
caryatide	カリアチード
cascade	カスケード
case	カステン
case-by-case	ケースバイケース
case-sensitive	ケースセンシティブ
casebook	ケースブック
casein	カゼ
casework	ケースワーク
caseworker	ケースワーカー
cash	キャッシュ
cash-back	キャッシュバック
cashbook	キャッシュブック
cashbox	キャッシュボックス
cashew	カシュー
cashier	キャッシャー
cashing	キャッシング
cashless	キャッシュレス
cashmere	カシミア
casino	カジノ
cask	キャスク
casket	カスケット
cassava	キャッサバ
casserole	カセロール
cassette	カセット
cassia	カシア
cassis	クロスグリ
cassowary	カズワル
cast	ギブス
castanets	カスタネット
caste	カースト
caster	カスター
casting	キャスチング
castle	キャッスル
castling	キャスリング
castrato	カストラート
casual	カジュアル
cat	カト
cat's-ear	ブタナ
cat's-eye	キャッツアイ
catacomb	カタコンブ
catacombe	カタコンベ
catalase	カタラーゼ
catalepsy	カタレプシー
catalog	カタログ
catalogue	カタログ
catamaran	カタマラン
catapult	カタパルト
catastrophe	カタストロフ
catch	キャッチ
catch-phrase	キーワード
catch-up	キャッチアップ
catcher	キャッチャー
catchphrase	キャッチフレーズ
catchword	キャッチワード
catchy	キャッチー
catechin	カテキン
catechism	カテキズム
catechol	カテコール
catecholamine	カテコールアミン
catechu	カテキュー
categorize	カテゴライズ
categorizer	カテゴライザ
category	カテゴリ
catering	ケータリング
caterpillar	カタピラー
catgut	ガット
catharsis	カタルシス
cathedral	カセドラル
cathepsin	カテプシン
catheter	カテーテル
cathetometer	カセトメーター
cathexis	カセクシス
cathode	カソード
cation	カチオン
cats	キャッツ
catsup	ケチャップ
cattleya	カトレア
catwalk	キャットウォーク
cauliflower	カリフラワー
caulking	コーキング
caution	コーション
cavalier	カバリエ
cavern	カバーン
caviar	カビア
caviare	カビア
caving	ケービング
cavitation	キャビテーション
caw	カーカー
cayenne	コーレーグース
cayman	カイマン
cc:	シーシー
cc:Mail	シーシーメイル
cedilla	カンマ
cefotaxime	セフォタキシム
ceiling	シーリング
ceilometer	シーロメータ
celebrity	セレブ
celeriac	セルリアク
celery	セルリー
celesta	チェレスタ
cell	セル
cellar	セラー
cellist	チェリスト
cello	セロ
cellophane	セロハン
cellular	セルラー
cellulase	セルラーゼ
celluloid	セルロイド
cellulose	セルロース
celtuce	セルタス
cembalo	チェンバロ
cement	セメント
cementation	セメンテーション
cementite	セメンタイト
census	センサス
cent	セント
centare	センタール
center	センタ
centerboard	センターボード
centerfold	センターフォールド
centering	センタリング
centerline	センターライン
centerpiece	センターピース
centi-	センチ
centime	サンチーム
centimeter	センチ
centimo	センチモ
centipede	ムカデ
central	セントラル
centre	センタ
centring	センタリング
centroid	セントロイド
century	センチュリー
cephalin	ケファリン
cephalosporin	セファロスポリン
ceramic	セラミック
ceramics	セラミックス
ceramide	セラミド
cercopithecoid	オナガザル
cereal	シリアル
cerebroside	セレブロシド
ceremony	セレモニー
cerium	セリウム
cermet	サーメット
cerrado	セラード
certificate	サーティフィケイト
cesium	セシウム
cf	シーエフ
cha-cha	チャチャチャ
chaconne	シャコンヌ
chad	チャド
chador	チャドル
chaebol	チェボル
chaff	チャフ
chaffinch	ズアオアトリ
chain	チェイン
chainsaw	チェーンソー
chainstitch	チェーンステッチ
chair	チェア
chairman	チェアマン
chairperson	チェアパースン
chalaza	カラザ
chalk	カルキ
challenger	チャレンジャー
chamber	チェンバー
chambray	シャンブレー
chameleon	カメレオン
chamois	シャモア
champ	チャンプ
champagne	シャンパーニュ
champignon	シャンピニオン
champion	チャンピオン
championship	チャンピオンシップ
champuru	チャンプルー
chance	チャンス
chandelier	シャンデリア
chandra	チャンドラ
change	スライド
changeover	チェンジオーバー
changepocket	チェンジポケット
changer	チェンジャー
channel	チャネル
channeling	チャネリング
channelling	チャネリング
chanpuru	チャンプルー
chanson	シャソン
chansonnier	シャンソニエ
chaos	カオス
chapati	チャパティ
chapatti	チャパティ
chapel	チャペル
chaperon	シャペロン
chaplain	チャプレン
chapstick	リップクリーム
chapter	チャプタ
character	キャラ
characteristic	メルクマール
charade	シャレード
charades	ジェスチャーゲーム
charango	チャランゴ
charcoal	チャコール
charge	チャージ
charge-up	アップ
charger	チャージャー
charging	チャージング
chariot	チャリオット
charisma	カリスマ
charismatic	カリスマチック
charity	チャリティ
charm	シャルム
charming	シャルマン
chart	チャート
charter	チャーター
chartreuse	シャトルーズ
chaser	チェイサー
chasing	チェーシング
chassis	シャーシ
chat	チャット
chateaubriand	シャトーブリアン
chattering	チャタリング
chauvinism	ショービニスム
chauvinisme	ショーヴィニスム
chauvinist	ショービニスト
cheap	チープ
cheating	インチキ
check	チェック
check-in	チェックイン
check-out	チェックアウト
checkbook	チェックブック
checkbox	チェックボックス
checker	チェッカ
checker-player	チェッカープレイヤー
checkerboard	チェッカーボード
checkers	チェッカーズ
checklist	チェックリスト
checkmate	チェックメイト
checkoff	チェックオフ
checkroom	クローク
checksum	サムチェック
checkvalve	チェックバルブ
checkwriter	チェックライター
cheddar	チェダー
cheek	チーク
cheep	チューチュー
cheer	チア
cheerful	ウキウキ
cheerio	チェリオ
cheerleader	チアガール
cheerleading	チアダンス
cheery	ウキウキ
cheese	チーズ
cheeseburger	チーズバーガー
cheetah	チータ
chef	シェフ
chelate	キレート
chemical	ケミカル
chemise	シミーズ
chemist	ケミスト
chemistry	ケミストリ
chenille	モールファブリック
cheongsam	チャイナドレス
cherry	サクランボ
chert	チャート
cherub	チェラブ
cherubim	ケルビム
chervil	セルフィーユ
chess	チェス
chessboard	チェスボード
chest	チェスト
chesterfield	チェスターフィールド
chestnut	マロン
chevalier	シュヴァリエ
chevrotain	マメジカ
chewable	チュアブル
chewy	シコシコ
cheyletid	ツメダニ
chiaroscuro	キアロスクーロ
chiasma	キアズマ
chiasmata	キアズマ
chic	シック
chicane	シケイン
chick	チック
chicken	チキン
chicory	アンディーブ
chief	チーフ
chiffon	シフォン
chigger	スナノミ
chignon	シニョン
chigoe	スナノミ
chihuahua	チワワ
child	チャイルド
children	キッズ
chilled	チルド
chimaera	キマイラ
chime	チャイム
chimera	キマイラ
chimney	カミン
chimp	チンパンジー
chimpanzee	チンパンジー
chin	チン
china	セトモノ
chinchilla	チンチラ
chinking	ジャラジャラ
chinoform	キノホルム
chinois	シノア
chinoiserie	シノワズリー
chip	チップ
chipmunk	シマリス
chipolata	チポラータ
chips	フライドポテト
chiptune	チップチューン
chironomid	ユスリカ
chiropractic	カイロテック
chiropractor	カイロプラクター
chit-chat	ペチャクチャ
chitin	キチン
chiton	キトン
chive	シブレット
chlamydia	クラミジア
chloral	クロラール
chloramine	クロラミン
chloramphenicol	クロラムフェニコール
chlordane	クロルデン
chlorella	クロレラ
chlorhexidine	クロルヘキシジン
chloroacetophenone	クロロアセトフェノン
chlorobenzene	クロロベンゼン
chlorodiphenylarsine	クロロジフェニルアルシン
chlorofluorocarbon	クロロフルオロカーボン
chlorofluorohydrocarbon	フロン
chloroform	クルルホルム
chloromycetin	クロマイ
chlorophyll	クロロフィル
chloropicrin	クロロピクリン
chloroprene	クロロプレン
chloroquine	クロロキン
chlorosis	クロロシス
chlorpicrin	クロルピクリン
chlorpromazine	クロルプロマジン
chlortetracycline	クロルテトラサイクリン
chock	チョーク
chockstone	チョックストーン
choco	チョコ
chocolate	ショコラ
choice	チョイス
choir	クワイア
choke	チョーク
choker	チョーカー
choking	チョーキング
cholecalciferol	コレカルシフェロール
cholecystokinin-pancreozymin	コレシストキニンパンクレオザイミン
cholera	コレラ
cholesterin	コレステリン
cholesterol	コレステロール
choline	コリン
cholinesterase	コリンエステラーゼ
chondriosome	コンドリオソーム
chondrite	コンドライト
chop	チャップ
chopper	チョッパー
choral	コーラル
chord	コード
chord-name	コードネーム
choreographer	コリオグラファー
choreography	コレオグラフィー
chorizo	チョリソ
chorus	コーラス
chowder	チャウダー
chromatic	クロマチック
chromatin	クロマチン
chromatogram	クロマトグラム
chromatography	クロマトグラフィー
chromatron	クロマトロン
chrominance	クロミナンス
chromium	クローム
chronicle	クロニクル
chrono	クロノ
chronobiology	クロノバイオロジー
chronograph	クロノグラフ
chronology	クロノロジー
chronometer	クロノメーター
chronoscope	クロノスコープ
chrysoberyl	クリソベリル
chub	チャブ
chuck	チャック
chuckle	ウフッ
chuckling	ウフッ
chukka	チャッカー
chunk	チャンク
church	チャーチ
churinga	チュリンガ
chute	シューター
chutney	チャツネ
chymosin	キモシン
chymotrypsin	キモトリプシン
chytrid	ツボカビ
cicada	セミ
cichlid	シクリッド
cider	サイダー
cigar	シガー
cigarette	シガレット
cigarettes	タバコ
cigarillo	シガリロ
cilantro	コリアンダー
cimbalom	ツィンバロム
cimetidine	シメチジン
cinecamera	シネカメラ
cinefilm	シネフィルム
cinema	シネマ
cinematograph	シネマトグラフ
cineplex	シネプレックス
cineraria	サイネリア
cinnabar	シナバー
cinnamon	シナモン
circle	サークル
circlet	サークレット
circlip	サークリップ
circuit	サーキット
circular	サーキュラー
circulation	サーキュレーション
circulator	サーキュレーター
circumflex	サーカムフレックス
circumscribe	サーカムスクライブ
circumscription	サーカムスクリプション
circus	サーカス
cirque	カール
cis	シス
cistron	シストロン
citation	サイテーション
cithara	キタラ
cithern	シターン
citrine	シトリン
citron	クエン
citrulline	シトルリン
citrus	シトラス
cittern	シターン
city	シティ
civetone	シベトン
civic	シビック
civilian	シビリアン
civilisation	シビリゼーション
civilization	シビリゼーション
clacking	カツカツ
clad	クラッド
cladding	クラッド
clade	クレード
clafoutis	クラフティ
claim	クレーム
claimant	クレーマー
claimer	クレーマー
clamp	クランプ
clan	クラン
clanging	カーンカーン
clangor	カチンカチン
clapperboard	カチンコ
claret	クラレット
clarinet	クラリネット
clarion	クラリオン
clarionet	クラリオネット
clarity	クラリティ
clash	ガシャン
clasp	クラスプ
class	アロマ
classic	クラシック
classical	クラシカル
classicism	クラシシズム
classics	クラシック
classifier	クラシファイア
classmate	クラスメイト
classroom	クラスルーム
clatter	ガタガタ
clattering	ガタゴト
clavecin	クラヴサン
clavichord	クラヴィコード
clay	クレイ
clean	クリーン
cleaner	クリーナー
cleaning	クリーニング
cleanly	スカスカ
cleanroom	クリーンルーム
cleanser	クレンザー
cleansing	クレンジング
cleanup	クリーンナップ
clear	クリア
clearance	クリアランス
clearing	オープンスペース
clearstory	クリアストーリー
cleat	クリート
cleaver	クリーヴァ
cleek	クリーク
clematis	クレマチス
cleome	クレオメ
clerestory	クリアストーリー
cleric	クレリック
clerk	クラーク
cliche	クリシェ
click	クリック
clicking	カツカツ
client	クライアント
client-server	クライアントサーバ
climax	クライマックス
climber	クライマー
climbing	クライミング
climograph	クライモグラフ
clinch	クリンチ
clinic	クリニック
clinker	クリンカー
clinking	ジャラジャラ
clinometer	クリノメータ
cliometrics	クリオメトリクス
clione	クリオネ
clip	クリップ
clipboard	クリップボード
clipper	クリッパー
clipping	クリッピング
clique	クリーク
clitoris	クリ
clivia	クリビア
cloak	マンテル
cloakroom	クローク
clobber	クラバー
cloche	クローシュ
clock	クロック
clocking	クロッキング
cloister	クロイスター
clomiphene	クロミフェン
clone	クローン
cloning	クローニング
clonus	クローヌス
clopping	カツカツ
close	クローズ
close-up	アップ
closed	クローズド
closed-end	クローズドエンド
closer	クローザー
closet	クローゼット
closure	クロージャ
cloth	クロース
clothespin	ピンチ
clothoid	クロソイド
cloud	クラウド
clove	クローブ
clover	クローバー
clownfish	クマノミ
club	クラブ
clubhouse	クラブ
clubs	クラブ
cluster	クラスタ
clustering	クラスタリング
clutch	クラッチ
cmdlet	コマンドレット
co-generation	コージェネレーション
co-location	コロケーション
co-medical	コメディカル
co-ordinate	コーディネイト
coacervate	コアセルベート
coach	コーチ
coacher	コーチャー
coal	コール
coast	コースト
coaster	コースター
coat	コート
coatdress	コートドレス
coating	コーティング
coax	コアックス
cobalamin	コバラミン
cobalt	コバルト
cobia	スギ
cobra	コブラ
cocaine	コカイン
coccidium	コクシジウム
coccolith	ココリス
coccyx	ビテイコツ
cochineal	コチニール
cock	コック
cock-a-doodle-doo	コケコッコー
cockatiel	オカメインコ
cockatrice	コカトリス
cockerel	コケコッコー
cockney	コックニー
cockpit	コクピット
cockroach	アブラムシ
cocktail	カクテイル
cocoa	カカオ
coconut	コウコナット
cocoon	コクーン
coda	コーダ
code	コード
code-bit	コードビット
code-books	コードブックス
code-group	コードグループ
code-independent	コードインデペンデント
code-sensitive	コードセンシティブ
code-transparent	コードトランスペアレント
codec	コーデック
codeine	コデイン
coding	コーディング
codon	コドン
coelacanth	シーラカンス
coelostat	シーロスタット
coffee	コーヒー
coffin	コフィン
cogeneration	コージェネレーション
cognac	コニャック
cohabitation	コアビタシオン
coherence	コヒーレンス
coherent	コヒーレント
coherer	コヒーラー
cohort	コーホート
coil	コイル
coilgun	コイルガン
coin	コイン
coitus	コイタス
coke	コークス
col	コル
cola	コーラ
colander	ストレーナー
colchicine	コルチシン
colchicum	コルチカム
cold	コール
coleslaw	コールスロー
coleus	コリウス
collaboration	コラボ
collaborative	コラボレイティブ
collaborator	コラボレーター
collage	コラージュ
collagen	コラーゲン
collar	カラー
collarless	カラーレス
collect	コレクト
collection	コレクション
collectivism	コレクティヴィズム
collectomania	コレクトマニア
collector	コレクタ
collectors	コレクターズ
college	カレッジ
collet	コレット
collider	クライダー
collie	コリー
collimator	コリメーター
collision	アタリ
collocation	コロケーション
collodion	コロジオン
colloid	コロイド
colloquial	コロキュアル
collotype	コロタイプ
collusion	コリュージョン
colobus	コロブス
colocynth	コロシント
colon	コロン
colonial	コロニアル
colonialism	コロニアリズム
colonist	コロン
colonnade	コロネード
colony	コロニー
color	カラー
coloratura	コロラチューラ
colored	カラード
colorful	カラフル
colorist	カラリスト
colorization	カラライゼーション
colorless	カラーレス
colossus	コロッサス
colour	カラー
coloured	カラード
colourful	カラフル
colourist	カラリスト
colourless	カラーレス
colugo	ヒヨケザル
columbine	オダマキ
columbium	コロンビウム
column	カラム
columnist	コラムニスト
coma	コーマ
comb	コーム
combat	コンバット
combination	コンビ
combinator	コンビネータ
combine	コンツェルン
combo	コンボ
comeback	カムバック
comedian	コメディアン
comedy	コメディ
comet	コメット
comfrey	コンフリー
comical	コミカル
comics	コミック
comma	カンマ
command	コマンド
commandlet	コマンドレット
commando	コマンド
comment	カキコ
comment-out	コメントアウト
commentary	コメンタリー
commentator	コメンテーター
comments	コンメンタール
commerce	コマース
commercial	コマーシャル
commercialism	コマーシャリズム
commission	コミッション
commissioner	コミッショナー
commit	コミット
commitment	コミットメント
committee	コミッティー
commodity	コモディティー
common	コモン
communalism	コミュナリズム
commune	コミューン
communicate	コミュニケート
communication	コミュニケイション
communicator	コミュニケーター
communique	コミュニケ
communism	コミュニズム
communist	コミュニスト
communitas	コミュニタス
community	ゲマインシャフト
commuter	コミューター
compact	コンパクト
compaction	コンパクション
companion	コンパニオン
company	カンパニー
comparator	コンパレータ
comparison	コンパレート
compartment	コンパートメント
compass	コンパス
compatibility	コンパチ
compatible	コンパチ
competition	コンペ
compilation	コンピレーション
compile	コンパイル
compiler	コンパイラ
compiler-compiler	コンパイラコンパイラ
complaint	クレーム
complement	コンプリメント
complete	コンプ
completion	コンプリーション
complex	コンプレックス
compliance	コンプライアンス
compliment	コンプリメント
component	コンポ
composer	コンポーザー
composite	コンポジット
composition	コンポジション
compost	コンポスト
compote	コンポート
compound	コンパウンド
compress	コンプレス
compression	コンプレッション
compressor	コンプレッサ
compromis	コンプロミー
compulsory	コンパルソリー
computation	コンピュテーション
computer	コンピュータ
computer-music	コンピュータミュージック
computer-software	コンピュータソフトウェア
computer-vision	コンピュータービジョン
computerisation	コンピュータリゼーション
computerization	コンピュータリゼーション
computing	コンピューティング
computopia	コンピュートピア
computopolis	コンピュートポルス
comrade	ウタリ
comsat	コムサット
con-rod	コンロッド
concentrated	コンク
concentration	コンセントレーション
concentrator	コンセントレータ
concentric	コンセント
concept	コンセプト
conception	コンセプション
concert	コンサート
concertante	コンサルタント
concertina	コンチェルティナ
concerto	コンチェルト
conchiglie	コンキリエ
concierge	コンシェルジュ
concise	コンサイス
conclave	コンクラーベ
concord	コンコルド
concordance	コンコーダンス
concordat	コンコルダート
concourse	コンコース
concrete	コンクリ
concurrent	コンカレント
condense	コンデンス
condenser	コンデンサ
condition	コンディション
conditioner	コンディショナー
conditioning	コンディショニング
condom	ゴム
condominium	コンドミニアム
condor	コンドル
conduct	コンダクト
conductance	コンダクタンス
conductor	コンダクター
cone	コーン
cones	コーンズ
confection	コンフェクション
confectionery	コンフェクショナリー
confederation	コンフェデレーション
conference	カンファレンス
conferencing	カンファレンシング
confession	コンフェッション
confetti	コンペートー
confidence	コンフィデンス
confidential	コンフィデンシャル
configuration	コンフィギュレーション
confit	コンフィ
conflict	コンフリクト
conform	コンフォーム
conformism	コンフォーミズム
confusion	コンフュージョン
conga	コンガ
conglomerate	コングロマリット
congratulations	コングラチュレーション
congress	コングレス
conifer	コニファー
coniine	コニイン
connect	コネクト
connection	コネ
connectionism	コネクショニズム
connectionist	コネクショニスト
connectionist-model	コネクショニストモデル
connectionless	コネクションレス
connectivity	コネクティビティ
connector	コネクタ
connotation	コノテーション
conquistador	コンキスタドール
conquistadores	コンキスタドール
conscious	コンシャス
consciousness-raising	コンシャスネスレイジング
consensus	コンセンサス
consent	コンセント
conservation	コンサベーション
conservative	コンサーバティブ
conservatoire	コンセルヴァトワール
conservator	コンサベーター
conservatorium	コンセルヴァトワール
conservatory	コンサーヴァトーリ
consideration	コンシダレーション
consistency	コンシステンシ
console	コンソール
consolidation	コンソリデーション
consomme	コンソメ
consonant	コンソナント
consort	コンソート
consortium	コンソーシアム
constant	コンスタント
constantan	コンスタンタン
constellation	コンステレーション
constitution	コンスティチューション
constraint	コンストレイント
construct	コンストラクト
construction	コンストラクション
constructor	コンストラクタ
consul	コンサル
consultant	コンサルタント
consultants	コンサルタンツ
consultation	コンサル
consulting	コンサル
consumer	コンシューマー
consumering	コンシューマリング
consumerism	コンシューマリズム
consumption	コンサンプション
contact	コンタクト
container	コンテナ
containerisation	コンテナリゼーション
containerization	コンテナリゼーション
contamination	コンタミ
contemporary	コンテンポラリー
content	コンテンツ
content-bundling	コンテンツバンドル
contention	コンテンション
contents	コンテンツ
contest	コンクール
context	コンテキスト
context-sensitive	コンテクストセンシティブ
continental	コンチネンタル
contingency	コンティンジェンシー
continuation	コンティニュエーション
continuity	コンテ
contortionist	アクロバットダンサー
contour	コンター
contra	コントラ
contrabass	コントラバス
contrabassoon	コントラファゴット
contract	コントラクト
contraction	コントラクション
contractor	コントラクター
contralto	コントラルト
contrapropeller	コントラプロペラ
contrast	コントラスト
contredanse	コントルダンス
control	コントロール
control-point	コントロールポイント
controller	コントローラ
conurbation	コナーベーション
convenience	コンビニエンス
convention	コンベンション
conventional	コンベンショナル
conventionalism	コンベンショナリズム
convergence	コンバージェンス
conversation	カンバセーション
converse	コンバース
conversion	コンヴァージョン
convert	コンヴァート
converter	コンバータ
convertible	オープンカー
convex	コンベックス
conveyor	コンベア
convolution	コンヴォリューション
convolve	コンヴォルヴ
convolvulus	コンボルブルス
convoy	コンボイ
cony	ウサギ
cook	クック
cookie	クーキー
cooking	クッキング
cooky	クーキー
cool	クール
cool-box	クールボックス
cooler	クーラー
cooler-box	クーラーボックス
cooling-off	クーリングオフ
coop	コープ
coordinate	コーディネイト
coordination	コーディネーション
coordinator	コーディネーター
coot	オオバン
cop	コップ
copal	コーパル
copeck	コペイカ
coping	コーピング
copolymer	コーポリマー
copra	コプラ
coprocessor	コプロ
copula	コピュラ
copy	コピー
copy-and-paste	コピペ
copyleft	コピーレフト
copyright	コピーライト
copywriter	コピーライター
coquette	コケット
coquetterie	コケットリー
coquettish	コケッティシュ
coquettishly	ジャラジャラ
coral	コーラル
cord	コード
cordite	コルダイト
cordless	コードレス
cordovan	コードバン
corduroy	コージュロイ
core	コア
core-dump	コアダンプ
coriander	コエンドロ
cork	キルク
corkscrew	コークスクリュー
corn	コーン
corncrake	ウズラクイナ
corner	コーナ
cornering	コーナリング
cornet	コルネット
cornflour	コーンフラワー
cornice	コーニス
cornmeal	コーンミール
corns	コーンズ
cornstarch	コンスターチ
cornucopia	コルヌコピア
corolla	カローラ
corona	コロナ
coronagraph	コロナグラフ
coronation	コロネーション
coronavirus	コロナウイルス
coronet	コロネット
corotron	コロトロン
coroutine	コルーチン
corpocracy	コーポクラシー
corpora	コーパス
corporate	コーポレート
corporation	コーポレーション
corporatism	コーポラティズム
corpse	コープス
corpus	コーパス
correction	コレクション
correctly	キチキチ
correspondence	コレスポンデンス
correspondent	コルレス
corrida	コリーダ
corrie	カール
corrugated	ギザギザ
corsage	コサージ
corselet	コースレット
